,playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties,Unnamed: 0
0,8470140,2014,Kari Lehtonen,DAL,G,all,65,221861.0,173.72,181.0,3618.0,130.91,154.0,439.2,424.0,1905.76,1875.0,65.85,64.0,1051.28,873.0,787.93,949.0,166.81,1986.0,494.0,168.0,55.21,61.29,57.23,59.0,55.0,67.0,970.0,2.0,1.0,
1,8470147,2014,Curtis McElhinney,CBJ,G,all,32,102601.0,80.29,82.0,1669.0,63.29,69.0,208.73,199.0,912.74,949.0,25.98,46.0,518.96,456.0,372.78,418.0,76.84,941.0,260.0,73.0,26.59,30.79,22.91,27.0,29.0,26.0,395.0,0.0,0.0,
2,8475252,2014,Matt Hackett,BUF,G,all,5,15015.0,12.05,18.0,285.0,10.94,11.0,35.39,33.0,156.61,155.0,3.13,2.0,93.5,62.0,65.97,96.0,11.54,180.0,33.0,10.0,5.49,3.73,2.83,7.0,6.0,5.0,62.0,0.0,0.0,
3,8475622,2014,Carter Hutton,NSH,G,all,18,60591.0,38.38,44.0,883.0,32.81,32.0,105.43,101.0,465.68,450.0,15.35,12.0,264.89,221.0,193.81,232.0,37.0,503.0,117.0,30.0,15.12,14.01,9.25,23.0,13.0,8.0,233.0,0.0,0.0,
4,8477293,2014,Antti Raanta,CHI,G,all,14,47531.0,29.86,25.0,688.0,26.4,17.0,83.95,98.0,374.17,389.0,14.74,16.0,211.26,167.0,153.25,204.0,29.07,398.0,97.0,22.0,11.24,11.66,6.97,9.0,6.0,10.0,171.0,0.0,0.0,
5,8477234,2014,Troy Grosenick,S.J,G,all,2,7102.0,4.85,3.0,116.0,4.14,10.0,15.85,14.0,62.51,58.0,1.72,3.0,35.54,36.0,24.47,24.0,4.47,69.0,14.0,4.0,2.07,1.8,0.98,2.0,1.0,0.0,29.0,0.0,0.0,
6,8475831,2014,Philipp Grubauer,WSH,G,all,1,3900.0,2.06,2.0,51.0,1.62,2.0,5.48,8.0,23.6,25.0,1.07,4.0,13.26,11.0,9.8,10.0,2.04,27.0,3.0,3.0,0.7,0.35,1.01,1.0,0.0,1.0,18.0,0.0,0.0,
7,8474596,2014,Jake Allen,STL,G,all,37,124608.0,79.64,79.0,1771.0,63.13,65.0,211.61,242.0,921.69,909.0,33.03,35.0,513.97,372.0,376.98,474.0,76.7,973.0,229.0,73.0,28.36,26.86,24.42,34.0,26.0,19.0,496.0,2.0,1.0,
8,8474651,2014,Braden Holtby,WSH,G,all,73,253649.0,175.45,157.0,3930.0,142.49,123.0,463.09,537.0,2050.99,2044.0,66.49,80.0,1148.02,932.0,856.26,1045.0,168.75,2152.0,539.0,160.0,60.6,64.46,50.39,64.0,39.0,54.0,1079.0,2.0,1.0,
9,8473499,2014,Reto Berra,COL,G,all,19,43707.0,34.8,33.0,748.0,26.87,32.0,85.69,92.0,387.4,403.0,10.7,7.0,215.78,188.0,164.54,181.0,33.41,395.0,118.0,27.0,11.41,13.97,9.41,8.0,17.0,8.0,208.0,0.0,0.0,
10,8474765,2014,Anders Lindback,BUF,G,all,26,84478.0,61.78,73.0,1494.0,51.93,35.0,178.94,181.0,776.77,798.0,22.18,24.0,441.67,360.0,328.63,403.0,60.03,845.0,202.0,41.0,24.02,23.44,14.32,26.0,26.0,21.0,406.0,4.0,2.0,
11,8466141,2014,Roberto Luongo,FLA,G,all,61,211391.0,142.0,138.0,3056.0,114.57,115.0,385.73,447.0,1671.76,1743.0,54.63,64.0,950.0,730.0,713.01,856.0,137.03,1809.0,432.0,121.0,49.32,51.53,41.15,48.0,49.0,41.0,694.0,0.0,0.0,
12,8475852,2014,Petr Mrazek,DET,G,all,29,95102.0,64.66,63.0,1299.0,50.42,50.0,166.81,169.0,737.97,768.0,23.08,29.0,415.71,310.0,302.55,407.0,62.58,788.0,174.0,62.0,23.63,20.86,20.17,21.0,20.0,22.0,275.0,0.0,0.0,
13,8468011,2014,Ryan Miller,VAN,G,all,45,152491.0,104.87,107.0,2298.0,83.78,76.0,276.62,299.0,1209.05,1199.0,38.16,47.0,680.72,539.0,501.11,618.0,101.16,1265.0,335.0,87.0,37.42,40.79,26.65,46.0,32.0,29.0,611.0,0.0,0.0,
14,8471679,2014,Carey Price,MTL,G,all,66,238593.0,163.16,130.0,3873.0,133.31,133.0,448.74,461.0,1941.79,1953.0,59.1,84.0,1086.9,915.0,813.27,989.0,158.96,2075.0,491.0,144.0,57.84,59.11,46.21,44.0,41.0,45.0,1163.0,4.0,2.0,
15,8466339,2014,Scott Clemmensen,N.J,G,all,3,6095.0,6.25,8.0,89.0,4.12,2.0,11.38,11.0,53.57,54.0,1.33,0.0,27.24,28.0,19.18,19.0,6.07,42.0,21.0,7.0,1.78,2.7,1.77,3.0,1.0,4.0,19.0,0.0,0.0,
16,8476316,2014,Laurent Brossoit,EDM,G,all,1,3576.0,6.42,2.0,94.0,3.64,11.0,12.39,9.0,51.68,51.0,0.86,2.0,25.63,19.0,20.19,28.0,5.86,37.0,24.0,9.0,1.01,3.08,2.34,0.0,2.0,0.0,24.0,0.0,0.0,
17,8476876,2014,Malcolm Subban,BOS,G,all,1,1875.0,0.68,3.0,18.0,0.63,0.0,2.42,0.0,9.97,6.0,0.44,0.0,5.64,4.0,4.32,7.0,0.66,11.0,3.0,0.0,0.33,0.35,0.0,3.0,0.0,0.0,4.0,0.0,0.0,
18,8476904,2014,Chris Driedger,OTT,G,all,1,1372.0,0.43,0.0,15.0,0.44,0.0,2.3,1.0,9.55,10.0,0.32,0.0,4.4,2.0,6.1,10.0,0.43,13.0,1.0,0.0,0.35,0.09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
19,8475660,2014,Cam Talbot,NYR,G,all,36,125697.0,88.63,77.0,1956.0,72.07,58.0,244.24,293.0,1067.36,1038.0,35.0,36.0,598.66,511.0,443.64,505.0,85.92,1127.0,278.0,77.0,30.49,33.69,24.44,31.0,21.0,25.0,474.0,0.0,0.0,
20,8471306,2014,Thomas Greiss,PIT,G,all,20,69277.0,43.42,50.0,978.0,36.76,36.0,121.21,101.0,521.02,546.0,18.91,28.0,298.1,276.0,212.82,251.0,41.83,551.0,148.0,31.0,16.09,18.35,8.98,21.0,24.0,5.0,248.0,0.0,0.0,
21,8468685,2014,Henrik Lundqvist,NYR,G,all,46,164556.0,110.47,103.0,2524.0,88.39,81.0,305.79,296.0,1333.33,1329.0,42.15,37.0,747.23,622.0,560.82,699.0,106.01,1443.0,307.0,107.0,38.15,38.66,33.67,30.0,35.0,38.0,667.0,0.0,0.0,
22,8471469,2014,Pekka Rinne,NSH,G,all,64,231047.0,136.46,140.0,3397.0,116.82,109.0,413.89,520.0,1776.96,1807.0,64.33,78.0,997.1,772.0,751.22,875.0,132.7,1986.0,371.0,116.0,52.0,44.65,39.81,48.0,44.0,48.0,924.0,8.0,4.0,
23,8473461,2014,Steve Mason,PHI,G,all,51,173123.0,126.99,108.0,2765.0,99.35,117.0,343.8,412.0,1469.48,1490.0,43.91,36.0,797.66,596.0,607.06,751.0,122.89,1533.0,379.0,111.0,42.18,47.24,37.58,24.0,45.0,39.0,742.0,2.0,1.0,
24,8474889,2014,Martin Jones,L.A,G,all,15,46522.0,28.37,29.0,571.0,22.2,19.0,74.19,74.0,323.87,307.0,13.2,21.0,179.12,145.0,133.94,172.0,27.61,340.0,86.0,22.0,10.78,10.53,7.06,10.0,10.0,9.0,123.0,0.0,0.0,
25,8471239,2014,Cory Schneider,N.J,G,all,69,235436.0,166.23,148.0,3436.0,128.56,111.0,433.73,487.0,1914.2,1982.0,51.2,51.0,1055.58,787.0,788.75,1038.0,160.49,1978.0,516.0,140.0,56.67,62.75,46.8,48.0,57.0,43.0,802.0,0.0,0.0,
26,8471251,2014,Justin Peters,WSH,G,all,12,38819.0,28.19,35.0,597.0,21.44,21.0,69.32,54.0,307.82,294.0,10.62,12.0,171.97,149.0,128.21,163.0,27.3,318.0,86.0,25.0,8.62,9.96,9.61,10.0,14.0,11.0,168.0,0.0,0.0,
27,8473541,2014,Jonathan Bernier,TOR,G,all,58,190629.0,164.07,152.0,3277.0,121.71,110.0,411.66,475.0,1787.88,1735.0,48.45,61.0,1004.56,847.0,734.89,821.0,156.31,1883.0,460.0,153.0,53.16,54.7,56.21,57.0,49.0,46.0,781.0,0.0,0.0,
28,8470645,2014,Corey Crawford,CHI,G,all,57,198680.0,142.39,126.0,2891.0,109.57,122.0,358.28,336.0,1584.72,1661.0,57.13,58.0,871.3,665.0,653.23,888.0,137.08,1622.0,446.0,119.0,48.44,53.48,40.48,30.0,51.0,45.0,704.0,8.0,4.0,
29,8476883,2014,Andrei Vasilevskiy,T.B,G,all,16,51847.0,36.11,34.0,746.0,28.25,22.0,90.48,93.0,405.45,415.0,12.34,14.0,228.59,169.0,173.8,243.0,34.66,436.0,106.0,28.0,13.39,13.24,9.48,19.0,8.0,7.0,176.0,0.0,0.0,
30,8474690,2014,Kevin Poulin,NYI,G,all,1,3900.0,2.15,3.0,47.0,1.58,1.0,5.24,4.0,23.06,26.0,1.04,0.0,12.36,10.0,10.89,15.0,2.14,23.0,8.0,2.0,0.8,0.9,0.45,1.0,1.0,1.0,14.0,0.0,0.0,
31,8473607,2014,Michal Neuvirth,NYI,G,all,32,110985.0,94.68,92.0,1991.0,73.1,59.0,236.1,294.0,1055.0,1067.0,24.2,30.0,603.85,495.0,440.65,509.0,90.98,1112.0,288.0,83.0,33.38,34.08,27.22,36.0,32.0,24.0,508.0,0.0,0.0,
32,8477092,2014,Andrey Makarov,BUF,G,all,1,3600.0,3.29,3.0,68.0,2.77,1.0,8.33,11.0,37.46,36.0,0.7,1.0,22.7,18.0,15.69,19.0,3.24,42.0,10.0,2.0,1.48,1.18,0.63,2.0,1.0,0.0,14.0,0.0,0.0,
33,8471734,2014,Jonathan Quick,L.A,G,all,72,250807.0,163.61,156.0,3553.0,128.05,135.0,448.55,457.0,1945.81,1896.0,70.1,79.0,1078.7,886.0,807.52,991.0,157.64,2090.0,450.0,148.0,57.02,54.99,51.61,51.0,58.0,47.0,865.0,8.0,4.0,
